"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED302,LED202,LED502,LED602,LED101";"LEDM168X50N";5;"150060VS55040";;;
2;"C103,C104";"C_0402_1005Metric";2;"10p 6.3V";;;
3;"R103,R601,R301,R401,R302,R402,R602";"R_0402_1005Metric";7;"2.2k";;;
4;"C401,C301,C113,C105,C106,C108,C202,C107,C109";"C_0402_1005Metric";9;"100n 6.3V";;;
5;"C110";"C_0603_1608Metric";1;"2.2u 6.3V";;;
6;"J301,J201,J601";"SHDRRA3W80P0X350_1X3_1250X920X745P";3;"284512-3";;;
7;"IC202,IC302";"SOT95P240X110-3N";2;"PEC33712C2AR1000";;;
8;"H102,H104,H103,H101";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_Pad";;;
9;"LED501,LED201,LED301,LED601";"150060SS55040";4;"150060SS55040";;;
10;"FB501,FB502";"BEADC2012X105N";2;"MMZ2012D121BTD25";;;
11;"Q501,Q601";"SOT95P230X110-3N";2;"PESD2USB3UVT-QR";;;
12;"R305,R204";"R_0402_1005Metric";2;"120";;;
13;"R604,R603,R203,R303,R202,R501,R104,R304,R502";"R_0402_1005Metric";9;"1k";;;
14;"IC401";"SOT95P280X110-5N";1;"AT24C02D-STUM-T";;;
15;"C201";"C_0402_1005Metric";1;"100n 16V";;;
16;"R201,R101,R306";"R_0402_1005Metric";3;"10k";;;
17;"IC301";"SOIC127P600X175-8N";1;"ST3485EBDR";;;
18;"IC501";"CAPAE660X550N";1;"865230543003";;;
19;"R504,R503";"R_0402_1005Metric";2;"22";;;
20;"R102";"R_0402_1005Metric";1;"47";;;
21;"C501,C101,C102";"C_0603_1608Metric";3;"1u 16V";;;
22;"F501";"FUSC3216X100N";1;"1206L025YR";;;
23;"IC101";"QFP50P900X900X160-48N";1;"STM32F072CBT6";;;
24;"Y101";"ECS160733BCKLTR";1;"ECS-160-7-33B-CKL-TR";;;
25;"D501";"SOD2513X117N";1;"ESDA051-1JY";;;
26;"IC201";"SOIC127P600X175-8N";1;"ATA6561-GAQW-N";;;
27;"J103";"HUSSP6W41P127_2X3_381X343X440P";1;"20021121-00006T4LF";;;
28;"J501";"UJ2BH2TH";1;"UJ2-BH-2-TH";;;
29;"IC102";"SON65P200X200X60-7N-D";1;"ADP122ACPZ-3.3-R7";;;
